surface,slot,canonical_value,level,priority,category_hint,need_hint,gate_hint,is_protected,allow_nested,match_type,source,memo,use_typo,typo_threshold,use_embedding,embedding_text,embedding_threshold
무진단,underwriting_type,무심사형,4,8150,간편심사보험,상품조건확인,detailed,Y,N,contains,base_massive_v2,확장 인수기준/간편고지 단서,Y,0.80,Y,무진단 무심사형 간편심사보험 상품조건확인 확장 인수기준/간편고지 단서,0.82
병력자,underwriting_type,유병자형,4,8150,유병자보험,상품조건확인,detailed,Y,N,contains,base_massive_v2,확장 인수기준/간편고지 단서,Y,0.80,Y,병력자 유병자형 유병자보험 상품조건확인 확장 인수기준/간편고지 단서,0.82
심사완화,underwriting_type,인수기준완화,4,8150,인수완화보험,가입가능성확인,detailed,Y,N,contains,base_massive_v2,확장 인수기준/간편고지 단서,Y,0.80,Y,심사완화 인수기준완화 인수완화보험 상품조건확인 확장 인수기준/간편고지 단서,0.82
약 복용,underwriting_type,유병자가입조건,4,8150,유병자보험,상품조건확인,detailed,Y,N,contains,base_massive_v2,확장 인수기준/간편고지 단서,Y,0.80,Y,약 복용 유병자가입조건 유병자보험 상품조건확인 확장 인수기준/간편고지 단서,0.82
약복용,underwriting_type,유병자가입조건,4,8150,유병자보험,상품조건확인,detailed,Y,N,contains,base_massive_v2,확장 인수기준/간편고지 단서,Y,0.80,Y,약복용 유병자가입조건 유병자보험 상품조건확인 확장 인수기준/간편고지 단서,0.82
유병력자,underwriting_type,유병자형,4,8150,유병자보험,상품조건확인,detailed,Y,N,contains,base_massive_v2,확장 인수기준/간편고지 단서,Y,0.80,Y,유병력자 유병자형 유병자보험 상품조건확인 확장 인수기준/간편고지 단서,0.82
유병자,underwriting_type,유병자형,4,8150,유병자보험,상품조건확인,detailed,Y,N,contains,base_massive_v2,확장 인수기준/간편고지 단서,Y,0.80,Y,유병자 유병자형 유병자보험 상품조건확인 확장 인수기준/간편고지 단서,0.82
인수 완화,underwriting_type,인수기준완화,4,8150,인수완화보험,가입가능성확인,detailed,Y,N,contains,base_massive_v2,확장 인수기준/간편고지 단서,Y,0.80,Y,인수 완화 인수기준완화 인수완화보험 상품조건확인 확장 인수기준/간편고지 단서,0.82
인수기준 완화,underwriting_type,인수기준완화,4,8150,인수완화보험,가입가능성확인,detailed,Y,N,contains,base_massive_v2,확장 인수기준/간편고지 단서,Y,0.80,Y,인수기준 완화 인수기준완화 인수완화보험 상품조건확인 확장 인수기준/간편고지 단서,0.82
인수기준완화,underwriting_type,인수기준완화,4,8150,인수완화보험,가입가능성확인,detailed,Y,N,contains,base_massive_v2,확장 인수기준/간편고지 단서,Y,0.80,Y,인수기준완화 인수기준완화 인수완화보험 상품조건확인 확장 인수기준/간편고지 단서,0.82
인수완화,underwriting_type,인수기준완화,4,8150,인수완화보험,가입가능성확인,detailed,Y,N,contains,base_massive_v2,확장 인수기준/간편고지 단서,Y,0.80,Y,인수완화 인수기준완화 인수완화보험 상품조건확인 확장 인수기준/간편고지 단서,0.82
초간편 심사,underwriting_type,초간편심사형,4,8150,간편심사보험,상품조건확인,detailed,Y,N,contains,base_massive_v2,확장 인수기준/간편고지 단서,Y,0.80,Y,초간편 심사 초간편심사형 간편심사보험 상품조건확인 확장 인수기준/간편고지 단서,0.82
초간편고지,underwriting_type,초간편심사형,4,8150,간편심사보험,상품조건확인,detailed,Y,N,contains,base_massive_v2,확장 인수기준/간편고지 단서,Y,0.80,Y,초간편고지 초간편심사형 간편심사보험 상품조건확인 확장 인수기준/간편고지 단서,0.82
통원 중,underwriting_type,유병자가입조건,4,8150,유병자보험,상품조건확인,detailed,Y,N,contains,base_massive_v2,확장 인수기준/간편고지 단서,Y,0.80,Y,통원 중 유병자가입조건 유병자보험 상품조건확인 확장 인수기준/간편고지 단서,0.82
통원중,underwriting_type,유병자가입조건,4,8150,유병자보험,상품조건확인,detailed,Y,N,contains,base_massive_v2,확장 인수기준/간편고지 단서,Y,0.80,Y,통원중 유병자가입조건 유병자보험 상품조건확인 확장 인수기준/간편고지 단서,0.82
투약 중,underwriting_type,유병자가입조건,4,8150,유병자보험,상품조건확인,detailed,Y,N,contains,base_massive_v2,확장 인수기준/간편고지 단서,Y,0.80,Y,투약 중 유병자가입조건 유병자보험 상품조건확인 확장 인수기준/간편고지 단서,0.82
투약중,underwriting_type,유병자가입조건,4,8150,유병자보험,상품조건확인,detailed,Y,N,contains,base_massive_v2,확장 인수기준/간편고지 단서,Y,0.80,Y,투약중 유병자가입조건 유병자보험 상품조건확인 확장 인수기준/간편고지 단서,0.82
암 주요 치료비,coverage_focus,암주요치료비,5,7800,암주요치료비보험,보장범위확인,detailed,N,N,contains,base_massive_v2,최신 암/고액 치료비 담보,Y,0.90,Y,암 주요 치료비 암주요치료비 암주요치료비보험 보장범위확인 최신 암/고액 치료비 담보,0.82
암 주요치료비,coverage_focus,암주요치료비,5,7800,암주요치료비보험,보장범위확인,detailed,N,N,contains,base,최신 암 치료/치료비 담보 확장,Y,0.90,Y,암 주요치료비 암주요치료비 암보험 보장범위확인 최신 암 치료/치료비 담보 확장,0.82
암주요치료비,coverage_focus,암주요치료비,5,7800,암주요치료비보험,보장범위확인,detailed,N,N,contains,base,최신 암 치료/치료비 담보 확장,Y,0.90,Y,암주요치료비 암주요치료비 암보험 보장범위확인 최신 암 치료/치료비 담보 확장,0.82
4대유사암,coverage_focus,4대유사암진단비,5,7700,암보험,보장범위확인,detailed,N,N,contains,base_massive_v3,coverage massive v3,Y,0.90,Y,4대유사암 4대유사암진단비 암보험 보장 치료 진단 수술 암 최신 치료 고액 치료비,0.82
BRCA,coverage_focus,유전성여성암검사비,5,7700,여성건강보험,보장범위확인,detailed,N,N,contains,base_massive_v3,coverage massive v3,Y,0.90,Y,BRCA 유전성여성암검사비 여성건강보험 보장 치료 진단 수술 여성 생애주기 난임 출산 정신건강,0.82
CAR T,coverage_focus,CAR-T치료비,5,7700,항암치료비보험,보장범위확인,detailed,N,N,contains,base_massive_v3,coverage massive v3,Y,0.90,Y,CAR T CAR-T치료비 항암치료비보험 보장 치료 진단 수술 암 최신 치료 고액 치료비,0.82
CART,coverage_focus,CAR-T치료비,5,7700,항암치료비보험,보장범위확인,detailed,N,N,contains,base_massive_v3,coverage massive v3,Y,0.90,Y,CART CAR-T치료비 항암치료비보험 보장 치료 진단 수술 암 최신 치료 고액 치료비,0.82
IMRT,coverage_focus,세기조절방사선치료비,5,7700,항암치료비보험,보장범위확인,detailed,N,N,contains,base_massive_v3,coverage massive v3,Y,0.90,Y,IMRT 세기조절방사선치료비 항암치료비보험 보장 치료 진단 수술 암 최신 치료 고액 치료비,0.82
NGS,coverage_focus,NGS유전자패널검사비,5,7700,유전자검사보험,보장범위확인,detailed,N,N,contains,base_massive_v3,coverage massive v3,Y,0.90,Y,NGS NGS유전자패널검사비 유전자검사보험 보장 치료 진단 수술 암 최신 치료 고액 치료비,0.82
NGS검사,coverage_focus,NGS유전자패널검사비,5,7700,유전자검사보험,보장범위확인,detailed,N,N,contains,base_massive_v3,coverage massive v3,Y,0.90,Y,NGS검사 NGS유전자패널검사비 유전자검사보험 보장 치료 진단 수술 암 최신 치료 고액 치료비,0.82
car t,coverage_focus,CAR-T치료비,5,7700,항암치료비보험,보장범위확인,detailed,N,N,contains,base_massive_v2,최신 암/고액 치료비 담보,Y,0.90,Y,car t CAR-T치료비 항암치료비보험 보장범위확인 최신 암/고액 치료비 담보,0.82
car-t,coverage_focus,CAR-T치료비,5,7700,항암치료비보험,보장범위확인,detailed,N,N,contains,base,담보/치료/질환 중심 evidence,Y,0.90,Y,car-t CAR-T치료비 항암치료비보험 보장범위확인 담보/치료/질환 중심 evidence,0.82
cart,coverage_focus,CAR-T치료비,5,7700,항암치료비보험,보장범위확인,detailed,N,N,contains,base_massive_v2,최신 암/고액 치료비 담보,Y,0.90,Y,cart CAR-T치료비 항암치료비보험 보장범위확인 최신 암/고액 치료비 담보,0.82
가임력보존,coverage_focus,가임력보존치료비,5,7700,난임보험,보장범위확인,detailed,N,N,contains,base_massive_v3,coverage massive v3,Y,0.90,Y,가임력보존 가임력보존치료비 난임보험 보장 치료 진단 수술 여성 생애주기 난임 출산 정신건강,0.82
간암,coverage_focus,간암진단비,5,7700,암보험,보장범위확인,detailed,N,N,contains,base_massive_v3,coverage massive v3,Y,0.90,Y,간암 간암진단비 암보험 보장 치료 진단 수술 암 최신 치료 고액 치료비,0.82
감마나이프,coverage_focus,정위적방사선치료비,5,7700,항암치료비보험,보장범위확인,detailed,N,N,contains,base_massive_v3,coverage massive v3,Y,0.90,Y,감마나이프 정위적방사선치료비 항암치료비보험 보장 치료 진단 수술 암 최신 치료 고액 치료비,0.82
갱년기,coverage_focus,갱년기질환보장,5,7700,여성건강보험,보장범위확인,detailed,N,N,contains,base_massive_v3,coverage massive v3,Y,0.90,Y,갱년기 갱년기질환보장 여성건강보험 보장 치료 진단 수술 여성 생애주기 난임 출산 정신건강,0.82
경계성종양,coverage_focus,경계성종양진단비,5,7700,암보험,보장범위확인,detailed,N,N,contains,base_massive_v3,coverage massive v3,Y,0.90,Y,경계성종양 경계성종양진단비 암보험 보장 치료 진단 수술 암 최신 치료 고액 치료비,0.82
골다공증,coverage_focus,골다공증진단비,5,7700,여성건강보험,보장범위확인,detailed,N,N,contains,base_massive_v3,coverage massive v3,Y,0.90,Y,골다공증 골다공증진단비 여성건강보험 보장 치료 진단 수술 여성 생애주기 난임 출산 정신건강,0.82
골반장기탈출,coverage_focus,골반장기탈출수술비,5,7700,여성건강보험,보장범위확인,detailed,N,N,contains,base_massive_v3,coverage massive v3,Y,0.90,Y,골반장기탈출 골반장기탈출수술비 여성건강보험 보장 치료 진단 수술 여성 생애주기 난임 출산 정신건강,0.82
골수암,coverage_focus,골수암진단비,5,7700,암보험,보장범위확인,detailed,N,N,contains,base_massive_v3,coverage massive v3,Y,0.90,Y,골수암 골수암진단비 암보험 보장 치료 진단 수술 암 최신 치료 고액 치료비,0.82
구강암,coverage_focus,구강암진단비,5,7700,암보험,보장범위확인,detailed,N,N,contains,base_massive_v3,coverage massive v3,Y,0.90,Y,구강암 구강암진단비 암보험 보장 치료 진단 수술 암 최신 치료 고액 치료비,0.82
기타피부암,coverage_focus,기타피부암진단비,5,7700,암보험,보장범위확인,detailed,N,N,contains,base_massive_v3,coverage massive v3,Y,0.90,Y,기타피부암 기타피부암진단비 암보험 보장 치료 진단 수술 암 최신 치료 고액 치료비,0.82
난소낭종,coverage_focus,난소낭종수술비,5,7700,여성건강보험,보장범위확인,detailed,N,N,contains,base_massive_v3,coverage massive v3,Y,0.90,Y,난소낭종 난소낭종수술비 여성건강보험 보장 치료 진단 수술 여성 생애주기 난임 출산 정신건강,0.82
난소암,coverage_focus,난소암진단비,5,7700,암보험,보장범위확인,detailed,N,N,contains,base_massive_v3,coverage massive v3,Y,0.90,Y,난소암 난소암진단비 암보험 보장 치료 진단 수술 암 최신 치료 고액 치료비,0.82
난임시술,coverage_focus,난임치료비,5,7700,난임보험,보장범위확인,detailed,N,N,contains,base_massive_v3,coverage massive v3,Y,0.90,Y,난임시술 난임치료비 난임보험 보장 치료 진단 수술 여성 생애주기 난임 출산 정신건강,0.82
난임진단,coverage_focus,난임진단비,5,7700,난임보험,보장범위확인,detailed,N,N,contains,base_massive_v3,coverage massive v3,Y,0.90,Y,난임진단 난임진단비 난임보험 보장 치료 진단 수술 여성 생애주기 난임 출산 정신건강,0.82
난자동결,coverage_focus,난자동결보장,5,7700,난임보험,보장범위확인,detailed,N,N,contains,base_massive_v3,coverage massive v3,Y,0.90,Y,난자동결 난자동결보장 난임보험 보장 치료 진단 수술 여성 생애주기 난임 출산 정신건강,0.82
뇌종양,coverage_focus,뇌종양진단비,5,7700,암보험,보장범위확인,detailed,N,N,contains,base_massive_v3,coverage massive v3,Y,0.90,Y,뇌종양 뇌종양진단비 암보험 보장 치료 진단 수술 암 최신 치료 고액 치료비,0.82
다낭성난소,coverage_focus,다낭성난소증후군진단비,5,7700,여성건강보험,보장범위확인,detailed,N,N,contains,base_massive_v3,coverage massive v3,Y,0.90,Y,다낭성난소 다낭성난소증후군진단비 여성건강보험 보장 치료 진단 수술 여성 생애주기 난임 출산 정신건강,0.82
다빈치,coverage_focus,다빈치로봇수술비,5,7700,항암치료비보험,보장범위확인,detailed,N,N,contains,base_massive_v3,coverage massive v3,Y,0.90,Y,다빈치 다빈치로봇수술비 항암치료비보험 보장 치료 진단 수술 암 최신 치료 고액 치료비,0.82
담낭암,coverage_focus,담낭암진단비,5,7700,암보험,보장범위확인,detailed,N,N,contains,base_massive_v3,coverage massive v3,Y,0.90,Y,담낭암 담낭암진단비 암보험 보장 치료 진단 수술 암 최신 치료 고액 치료비,0.82
담도암,coverage_focus,담도암진단비,5,7700,암보험,보장범위확인,detailed,N,N,contains,base_massive_v3,coverage massive v3,Y,0.90,Y,담도암 담도암진단비 암보험 보장 치료 진단 수술 암 최신 치료 고액 치료비,0.82
대장암,coverage_focus,대장암진단비,5,7700,암보험,보장범위확인,detailed,N,N,contains,base_massive_v3,coverage massive v3,Y,0.90,Y,대장암 대장암진단비 암보험 보장 치료 진단 수술 암 최신 치료 고액 치료비,0.82
로봇수술,coverage_focus,로봇수술비,5,7700,항암치료비보험,보장범위확인,detailed,N,N,contains,base_massive_v3,coverage massive v3,Y,0.90,Y,로봇수술 로봇수술비 항암치료비보험 보장 치료 진단 수술 암 최신 치료 고액 치료비,0.82
류마티스,coverage_focus,류마티스관절염진단비,5,7700,여성건강보험,보장범위확인,detailed,N,N,contains,base_massive_v3,coverage massive v3,Y,0.90,Y,류마티스 류마티스관절염진단비 여성건강보험 보장 치료 진단 수술 여성 생애주기 난임 출산 정신건강,0.82
림프종,coverage_focus,림프종진단비,5,7700,암보험,보장범위확인,detailed,N,N,contains,base_massive_v3,coverage massive v3,Y,0.90,Y,림프종 림프종진단비 암보험 보장 치료 진단 수술 암 최신 치료 고액 치료비,0.82
맘모톰,coverage_focus,맘모톰수술비,5,7700,여성건강보험,보장범위확인,detailed,N,N,contains,base_massive_v3,coverage massive v3,Y,0.90,Y,맘모톰 맘모톰수술비 여성건강보험 보장 치료 진단 수술 여성 생애주기 난임 출산 정신건강,0.82
면역세포치료,coverage_focus,면역세포치료비,5,7700,항암치료비보험,보장범위확인,detailed,N,N,contains,base_massive_v3,coverage massive v3,Y,0.90,Y,면역세포치료 면역세포치료비 항암치료비보험 보장 치료 진단 수술 암 최신 치료 고액 치료비,0.82
방광암,coverage_focus,방광암진단비,5,7700,암보험,보장범위확인,detailed,N,N,contains,base_massive_v3,coverage massive v3,Y,0.90,Y,방광암 방광암진단비 암보험 보장 치료 진단 수술 암 최신 치료 고액 치료비,0.82
배아동결,coverage_focus,배아동결보장,5,7700,난임보험,보장범위확인,detailed,N,N,contains,base_massive_v3,coverage massive v3,Y,0.90,Y,배아동결 배아동결보장 난임보험 보장 치료 진단 수술 여성 생애주기 난임 출산 정신건강,0.82
배아이식,coverage_focus,난임치료비,5,7700,난임보험,보장범위확인,detailed,N,N,contains,base_massive_v3,coverage massive v3,Y,0.90,Y,배아이식 난임치료비 난임보험 보장 치료 진단 수술 여성 생애주기 난임 출산 정신건강,0.82
백혈병,coverage_focus,백혈병진단비,5,7700,암보험,보장범위확인,detailed,N,N,contains,base_massive_v3,coverage massive v3,Y,0.90,Y,백혈병 백혈병진단비 암보험 보장 치료 진단 수술 암 최신 치료 고액 치료비,0.82
브라카,coverage_focus,유전성여성암검사비,5,7700,여성건강보험,보장범위확인,detailed,N,N,contains,base_massive_v3,coverage massive v3,Y,0.90,Y,브라카 유전성여성암검사비 여성건강보험 보장 치료 진단 수술 여성 생애주기 난임 출산 정신건강,0.82
사이버나이프,coverage_focus,정위적방사선치료비,5,7700,항암치료비보험,보장범위확인,detailed,N,N,contains,base_massive_v3,coverage massive v3,Y,0.90,Y,사이버나이프 정위적방사선치료비 항암치료비보험 보장 치료 진단 수술 암 최신 치료 고액 치료비,0.82
산후우울,coverage_focus,산후우울보장,5,7700,정신건강보험,보장범위확인,detailed,N,N,contains,base_massive_v3,coverage massive v3,Y,0.90,Y,산후우울 산후우울보장 임신출산보험 보장 치료 진단 수술 여성 생애주기 난임 출산 정신건강,0.82
세기조절,coverage_focus,세기조절방사선치료비,5,7700,항암치료비보험,보장범위확인,detailed,N,N,contains,base_massive_v3,coverage massive v3,Y,0.90,Y,세기조절 세기조절방사선치료비 항암치료비보험 보장 치료 진단 수술 암 최신 치료 고액 치료비,0.82
시험관,coverage_focus,난임치료비,5,7700,난임보험,보장범위확인,detailed,N,N,contains,base_massive_v3,coverage massive v3,Y,0.90,Y,시험관 난임치료비 난임보험 보장 치료 진단 수술 여성 생애주기 난임 출산 정신건강,0.82
식도암,coverage_focus,식도암진단비,5,7700,암보험,보장범위확인,detailed,N,N,contains,base_massive_v3,coverage massive v3,Y,0.90,Y,식도암 식도암진단비 암보험 보장 치료 진단 수술 암 최신 치료 고액 치료비,0.82
신장암,coverage_focus,신장암진단비,5,7700,암보험,보장범위확인,detailed,N,N,contains,base_massive_v3,coverage massive v3,Y,0.90,Y,신장암 신장암진단비 암보험 보장 치료 진단 수술 암 최신 치료 고액 치료비,0.82
암 유전자검사,coverage_focus,암유전자검사비,5,7700,유전자검사보험,보장범위확인,detailed,N,N,contains,base_massive_v3,coverage massive v3,Y,0.90,Y,암 유전자검사 암유전자검사비 유전자검사보험 보장 치료 진단 수술 암 최신 치료 고액 치료비,0.82
양성자,coverage_focus,양성자치료비,5,7700,항암치료비보험,보장범위확인,detailed,N,N,contains,base_massive_v3,coverage massive v3,Y,0.90,Y,양성자 양성자치료비 항암치료비보험 보장 치료 진단 수술 암 최신 치료 고액 치료비,0.82
양성자치료,coverage_focus,양성자치료비,5,7700,항암치료비보험,보장범위확인,detailed,N,N,contains,base_massive_v3,coverage massive v3,Y,0.90,Y,양성자치료 양성자치료비 항암치료비보험 보장 치료 진단 수술 암 최신 치료 고액 치료비,0.82
예스카타,coverage_focus,CAR-T치료비,5,7700,항암치료비보험,보장범위확인,detailed,N,N,contains,base_massive_v2,최신 암/고액 치료비 담보,Y,0.90,Y,예스카타 CAR-T치료비 항암치료비보험 보장범위확인 최신 암/고액 치료비 담보,0.82
옵디보,coverage_focus,면역항암약물치료비,5,7700,항암치료비보험,보장범위확인,detailed,N,N,contains,base_massive_v3,coverage massive v3,Y,0.90,Y,옵디보 면역항암약물치료비 항암치료비보험 보장 치료 진단 수술 암 최신 치료 고액 치료비,0.82
요실금,coverage_focus,요실금수술비,5,7700,여성건강보험,보장범위확인,detailed,N,N,contains,base_massive_v3,coverage massive v3,Y,0.90,Y,요실금 요실금수술비 여성건강보험 보장 치료 진단 수술 여성 생애주기 난임 출산 정신건강,0.82
위암,coverage_focus,위암진단비,5,7700,암보험,보장범위확인,detailed,N,N,contains,base_massive_v3,coverage massive v3,Y,0.90,Y,위암 위암진단비 암보험 보장 치료 진단 수술 암 최신 치료 고액 치료비,0.82
유방복원,coverage_focus,유방재건수술비,5,7700,여성건강보험,보장범위확인,detailed,N,N,contains,base_massive_v3,coverage massive v3,Y,0.90,Y,유방복원 유방재건수술비 여성건강보험 보장 치료 진단 수술 여성 생애주기 난임 출산 정신건강,0.82
유방석회화,coverage_focus,유방질환진단비,5,7700,여성건강보험,보장범위확인,detailed,N,N,contains,base_massive_v3,coverage massive v3,Y,0.90,Y,유방석회화 유방질환진단비 여성건강보험 보장 치료 진단 수술 여성 생애주기 난임 출산 정신건강,0.82
유방양성종양,coverage_focus,유방양성종양수술비,5,7700,여성건강보험,보장범위확인,detailed,N,N,contains,base_massive_v3,coverage massive v3,Y,0.90,Y,유방양성종양 유방양성종양수술비 여성건강보험 보장 치료 진단 수술 여성 생애주기 난임 출산 정신건강,0.82
유방재건,coverage_focus,유방재건수술비,5,7700,여성건강보험,보장범위확인,detailed,N,N,contains,base_massive_v3,coverage massive v3,Y,0.90,Y,유방재건 유방재건수술비 여성건강보험 보장 치료 진단 수술 여성 생애주기 난임 출산 정신건강,0.82
유방절제,coverage_focus,유방절제수술비,5,7700,여성건강보험,보장범위확인,detailed,N,N,contains,base_massive_v3,coverage massive v3,Y,0.90,Y,유방절제 유방절제수술비 여성건강보험 보장 치료 진단 수술 여성 생애주기 난임 출산 정신건강,0.82
유산,coverage_focus,유산진단비,5,7700,임신출산보험,보장범위확인,detailed,N,N,contains,base_massive_v3,coverage massive v3,Y,0.90,Y,유산 유산진단비 임신출산보험 보장 치료 진단 수술 여성 생애주기 난임 출산 정신건강,0.82
유전성여성암,coverage_focus,유전성여성암검사비,5,7700,여성건강보험,보장범위확인,detailed,N,N,contains,base_massive_v3,coverage massive v3,Y,0.90,Y,유전성여성암 유전성여성암검사비 여성건강보험 보장 치료 진단 수술 여성 생애주기 난임 출산 정신건강,0.82
유전자패널검사,coverage_focus,NGS유전자패널검사비,5,7700,유전자검사보험,보장범위확인,detailed,N,N,contains,base_massive_v3,coverage massive v3,Y,0.90,Y,유전자패널검사 NGS유전자패널검사비 유전자검사보험 보장 치료 진단 수술 암 최신 치료 고액 치료비,0.82
인공수정,coverage_focus,난임치료비,5,7700,난임보험,보장범위확인,detailed,N,N,contains,base_massive_v3,coverage massive v3,Y,0.90,Y,인공수정 난임치료비 난임보험 보장 치료 진단 수술 여성 생애주기 난임 출산 정신건강,0.82
임신성당뇨,coverage_focus,임신성당뇨진단비,5,7700,임신출산보험,보장범위확인,detailed,N,N,contains,base_massive_v3,coverage massive v3,Y,0.90,Y,임신성당뇨 임신성당뇨진단비 임신출산보험 보장 치료 진단 수술 여성 생애주기 난임 출산 정신건강,0.82
임신중독증,coverage_focus,임신중독증진단비,5,7700,임신출산보험,보장범위확인,detailed,N,N,contains,base_massive_v3,coverage massive v3,Y,0.90,Y,임신중독증 임신중독증진단비 임신출산보험 보장 치료 진단 수술 여성 생애주기 난임 출산 정신건강,0.82
입체조형,coverage_focus,입체조형방사선치료비,5,7700,항암치료비보험,보장범위확인,detailed,N,N,contains,base_massive_v3,coverage massive v3,Y,0.90,Y,입체조형 입체조형방사선치료비 항암치료비보험 보장 치료 진단 수술 암 최신 치료 고액 치료비,0.82
자궁경부암,coverage_focus,자궁경부암진단비,5,7700,암보험,보장범위확인,detailed,N,N,contains,base_massive_v3,coverage massive v3,Y,0.90,Y,자궁경부암 자궁경부암진단비 암보험 보장 치료 진단 수술 암 최신 치료 고액 치료비,0.82
자궁근종,coverage_focus,자궁근종수술비,5,7700,여성건강보험,보장범위확인,detailed,N,N,contains,base_massive_v3,coverage massive v3,Y,0.90,Y,자궁근종 자궁근종수술비 여성건강보험 보장 치료 진단 수술 여성 생애주기 난임 출산 정신건강,0.82
자궁내막증,coverage_focus,자궁내막증치료비,5,7700,여성건강보험,보장범위확인,detailed,N,N,contains,base_massive_v3,coverage massive v3,Y,0.90,Y,자궁내막증 자궁내막증치료비 여성건강보험 보장 치료 진단 수술 여성 생애주기 난임 출산 정신건강,0.82
자궁선근증,coverage_focus,자궁선근증치료비,5,7700,여성건강보험,보장범위확인,detailed,N,N,contains,base_massive_v3,coverage massive v3,Y,0.90,Y,자궁선근증 자궁선근증치료비 여성건강보험 보장 치료 진단 수술 여성 생애주기 난임 출산 정신건강,0.82
자궁체부암,coverage_focus,자궁체부암진단비,5,7700,암보험,보장범위확인,detailed,N,N,contains,base_massive_v3,coverage massive v3,Y,0.90,Y,자궁체부암 자궁체부암진단비 암보험 보장 치료 진단 수술 암 최신 치료 고액 치료비,0.82
전립선암,coverage_focus,전립선암진단비,5,7700,암보험,보장범위확인,detailed,N,N,contains,base_massive_v3,coverage massive v3,Y,0.90,Y,전립선암 전립선암진단비 암보험 보장 치료 진단 수술 암 최신 치료 고액 치료비,0.82
정위적방사선,coverage_focus,정위적방사선치료비,5,7700,항암치료비보험,보장범위확인,detailed,N,N,contains,base_massive_v3,coverage massive v3,Y,0.90,Y,정위적방사선 정위적방사선치료비 항암치료비보험 보장 치료 진단 수술 암 최신 치료 고액 치료비,0.82
제왕절개,coverage_focus,제왕절개수술비,5,7700,임신출산보험,보장범위확인,detailed,N,N,contains,base_massive_v3,coverage massive v3,Y,0.90,Y,제왕절개 제왕절개수술비 임신출산보험 보장 치료 진단 수술 여성 생애주기 난임 출산 정신건강,0.82
제자리암,coverage_focus,제자리암진단비,5,7700,암보험,보장범위확인,detailed,N,N,contains,base_massive_v3,coverage massive v3,Y,0.90,Y,제자리암 제자리암진단비 암보험 보장 치료 진단 수술 암 최신 치료 고액 치료비,0.82
조산,coverage_focus,조산보장,5,7700,임신출산보험,보장범위확인,detailed,N,N,contains,base_massive_v3,coverage massive v3,Y,0.90,Y,조산 조산보장 임신출산보험 보장 치료 진단 수술 여성 생애주기 난임 출산 정신건강,0.82
종양유전자검사,coverage_focus,종양유전자검사비,5,7700,유전자검사보험,보장범위확인,detailed,N,N,contains,base_massive_v3,coverage massive v3,Y,0.90,Y,종양유전자검사 종양유전자검사비 유전자검사보험 보장 치료 진단 수술 암 최신 치료 고액 치료비,0.82
중입자방사선,coverage_focus,중입자치료비,5,7700,항암치료비보험,보장범위확인,detailed,N,N,contains,base_massive_v3,coverage massive v3,Y,0.90,Y,중입자방사선 중입자치료비 항암치료비보험 보장 치료 진단 수술 암 최신 치료 고액 치료비,0.82
중입자치료,coverage_focus,중입자치료비,5,7700,항암치료비보험,보장범위확인,detailed,N,N,contains,base_massive_v3,coverage massive v3,Y,0.90,Y,중입자치료 중입자치료비 항암치료비보험 보장 치료 진단 수술 암 최신 치료 고액 치료비,0.82
출산지원금,coverage_focus,출산지원금,5,7700,임신출산보험,보장범위확인,detailed,N,N,contains,base_massive_v3,coverage massive v3,Y,0.90,Y,출산지원금 출산지원금 임신출산보험 보장 치료 진단 수술 여성 생애주기 난임 출산 정신건강,0.82
출산축하금,coverage_focus,출산지원금,5,7700,임신출산보험,보장범위확인,detailed,N,N,contains,base_massive_v3,coverage massive v3,Y,0.90,Y,출산축하금 출산지원금 임신출산보험 보장 치료 진단 수술 여성 생애주기 난임 출산 정신건강,0.82
췌장암,coverage_focus,췌장암진단비,5,7700,암보험,보장범위확인,detailed,N,N,contains,base_massive_v3,coverage massive v3,Y,0.90,Y,췌장암 췌장암진단비 암보험 보장 치료 진단 수술 암 최신 치료 고액 치료비,0.82
카티,coverage_focus,카티항암약물치료비,5,7700,항암치료비보험,보장범위확인,detailed,N,N,contains,base,담보/치료/질환 중심 evidence,Y,0.90,Y,카티 카티항암약물치료비 항암치료비보험 보장범위확인 담보/치료/질환 중심 evidence,0.82
카티,coverage_focus,CAR-T치료비,5,7700,항암치료비보험,보장범위확인,detailed,N,N,contains,base_massive_v3,coverage massive v3,Y,0.90,Y,카티 CAR-T치료비 항암치료비보험 보장 치료 진단 수술 암 최신 치료 고액 치료비,0.82
카티 치료,coverage_focus,CAR-T치료비,5,7700,항암치료비보험,보장범위확인,detailed,N,N,contains,base_massive_v2,최신 암/고액 치료비 담보,Y,0.90,Y,카티 치료 CAR-T치료비 항암치료비보험 보장범위확인 최신 암/고액 치료비 담보,0.82
카티치료,coverage_focus,CAR-T치료비,5,7700,항암치료비보험,보장범위확인,detailed,N,N,contains,base_massive_v3,coverage massive v3,Y,0.90,Y,카티치료 CAR-T치료비 항암치료비보험 보장 치료 진단 수술 암 최신 치료 고액 치료비,0.82
카티항암,coverage_focus,CAR-T치료비,5,7700,항암치료비보험,보장범위확인,detailed,N,N,contains,base_massive_v2,최신 암/고액 치료비 담보,Y,0.90,Y,카티항암 CAR-T치료비 항암치료비보험 보장범위확인 최신 암/고액 치료비 담보,0.82
